Evidence type,Reaction ID / module,Reaction name,Gene/protein ID,GPR,Knockout phenotype / evidence,Delta Ac,Classification,Interpretation
Reaction path,EX_ascb__L_e,EX_ascb__L_e,,,pathway step 1; WT flux = -5.0; exchange reaction,,Exchange boundary/output,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,ASCBpts,L-ascorbate transport via PEP:Pyr PTS,WP_005688041_1; WP_014569061_1,WP_005688041_1 and WP_014569061_1,pathway step 2; WT flux = 5.0; transport-associated,,Active PTS-associated uptake route,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,ASCBPL,L-ascorbate 6-phosphate lactonase,WP_014570172_1,WP_014570172_1,pathway step 3; WT flux = 5.0,,Downstream catabolic node with KO support,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,WP_005687764_1,WP_005687764_1,pathway step 4; WT flux = 4.999999999999999,,Downstream catabolic node with KO support,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,X5PL3E,L-xylulose 5-phosphate 3-epimerase,WP_015765089_1,WP_015765089_1,pathway step 5; WT flux = 4.999999999999999,,Downstream catabolic node with KO support,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,RBP4E,L-ribulose-phosphate 4-epimerase,WP_014571689_1,WP_014571689_1,pathway step 6; WT flux = 4.999999999999999,,Downstream catabolic node with KO support,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,PKETX,Phosphoketolase _xylulose-5-phosphate utilizing,WP_005688054_1,WP_005688054_1,pathway step 7; WT flux = 19.351281418824296,,Central link to acetyl phosphate,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,ACt2r_1,Acetate reversible transport via proton symport,,,pathway step 18; WT flux = 12.23500890884371; transport-associated,,Core L-ascorbate-to-acetate pathway,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction path,EX_ac_e,EX_ac_e,,,pathway step 19; WT flux = 12.23500890884371; exchange reaction,,Exchange boundary/output,Reaction is part of the model-predicted L-ascorbate-to-acetate route.
Reaction KO,EX_ascb__L_e,EX_ascb__L_e,,,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Ascorbate exchange boundary required,Exchange/boundary reaction KO abolishes ascorbate uptake and makes forcedAsc infeasible.
Reaction KO,ASCBpts,L-ascorbate transport via PEP:Pyr PTS,WP_005688041_1; WP_014569061_1,WP_005688041_1 and WP_014569061_1,forcedAsc: feasible; noAsc: feasible; max L-ascorbate uptake = 10.0,0.9009488519443147,Single transport reaction not essential in current model configuration,Single-reaction knockout remained feasible in the current model configuration; transport-level conclusions should be interpreted at the module level.
Reaction KO,ASCBPL,L-ascorbate 6-phosphate lactonase,WP_014570172_1,WP_014570172_1,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted reaction-level utilization-essential node,"Reaction knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Reaction KO,KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,WP_005687764_1,WP_005687764_1,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted reaction-level utilization-essential node,"Reaction knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Reaction KO,X5PL3E,L-xylulose 5-phosphate 3-epimerase,WP_015765089_1,WP_015765089_1,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted reaction-level utilization-essential node,"Reaction knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Reaction KO,RBP4E,L-ribulose-phosphate 4-epimerase,WP_014571689_1,WP_014571689_1,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted reaction-level utilization-essential node,"Reaction knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Gene/protein KO,KG6PDC,KG6PDC: 3-keto-L-gulonate 6-phosphate decarboxylase,WP_005687764_1,,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted gene/protein-level utilization-essential node,"Gene/protein knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Gene/protein KO,ASCBpts,ASCBpts: L-ascorbate transport via PEP:Pyr PTS,WP_005688041_1,,forcedAsc: feasible; noAsc: feasible; max L-ascorbate uptake = 10.0,0.9009488495718321,Not essential under this single-KO test,Single KO remains feasible under forcedAsc and noAsc; not classified as essential in this specific KO test. Mapped reaction(s): ASCBpts
Gene/protein KO,ASCBpts,ASCBpts: L-ascorbate transport via PEP:Pyr PTS,WP_014569061_1,,forcedAsc: feasible; noAsc: feasible; max L-ascorbate uptake = 10.0,0.9009488523184892,Not essential under this single-KO test,Single KO remains feasible under forcedAsc and noAsc; not classified as essential in this specific KO test. Mapped reaction(s): ASCBpts
Gene/protein KO,ASCBPL,ASCBPL: L-ascorbate 6-phosphate lactonase,WP_014570172_1,,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted gene/protein-level utilization-essential node,"Gene/protein knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Gene/protein KO,RBP4E,RBP4E: L-ribulose-phosphate 4-epimerase,WP_014571689_1,,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted gene/protein-level utilization-essential node,"Gene/protein knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
Gene/protein KO,X5PL3E,X5PL3E: L-xylulose 5-phosphate 3-epimerase,WP_015765089_1,,forcedAsc: infeasible; noAsc: feasible; max L-ascorbate uptake = 0.0,0.0,Model-predicted gene/protein-level utilization-essential node,"Gene/protein knockout made the forcedAsc condition infeasible while noAsc remained feasible, supporting a model-predicted utilization-essential role."
WT uptake flux diagnostic,ASCBpts,L-ascorbate transport via PEP:Pyr PTS,WP_005688041_1; WP_014569061_1,WP_005688041_1 and WP_014569061_1,"WT uptake-related flux diagnostic; flux = 5.0; bounds = (0.0, 1000.0)",,WT active ascorbate uptake route,Flux diagnostic for the active WT ascorbate uptake route.
WT uptake flux diagnostic,EX_ascb__L_e,EX_ascb__L_e,,,"WT uptake-related flux diagnostic; flux = -5.0; bounds = (-5.0, -5.0)",,WT ascorbate exchange flux,Flux diagnostic for the active WT ascorbate uptake route.
